MCNo,Event Number,Rating (0-3),E1 (GeV),px1 (GeV/c),py1 (GeV/c),pz1 (GeV/c),E2 (GeV),px2 (GeV/c),py2 (GeV/c),pz2 (GeV/c)
178,1023595793,2,9.01633,0.409523,2.24614,-8.72182,4.40582,2.00445,-0.0307582,-3.9219
179,1023621855,3,6.3712,1.30054,-0.675984,-6.19941,8.37653,-0.523927,1.74132,-8.17609
180,1023672737,0,5.48156,-1.13946,-0.0235544,5.36073,4.08272,0.983263,0.171156,3.95744
181,1023684394,1,5.68232,-0.0184659,-1.14963,-5.56377,5.49924,-2.168,-0.159561,-5.05022
182,1023686769,2,7.56327,1.89382,0.71738,7.28633,3.32387,-0.20726,-0.74397,3.23117
183,1023686819,2,18.8294,-2.0304,3.05284,-18.4687,3.0568,0.98192,0.911923,-2.74538
184,1023700499,0,13.9207,-7.1948,1.23795,-11.8523,4.90921,-0.759258,-0.547709,-4.81796
185,1023735180,0,5.20021,-4.19479,2.67042,1.51778,3.42444,-1.11612,-0.264285,3.22491
186,1023737942,2,19.3632,2.60981,-5.62087,18.3444,4.21744,0.972514,0.022474,4.10236
187,1023851124,2,7.69567,-2.04464,-1.75619,7.20745,3.84105,-1.4797,1.02845,3.39048
188,1023856313,0,10.2565,-2.92435,-2.87513,-9.40036,5.23783,-0.638088,0.931182,-5.11366
189,1023869431,2,5.06729,0.565313,-4.85078,-1.34781,4.929,2.55199,-4.21481,-0.0812632
190,1023883855,1,3.38912,1.38936,-3.08142,-0.22246,3.30401,-0.900566,0.082317,-3.17608
191,1023898764,2,7.74364,-1.02868,1.95212,7.42185,8.42277,1.02485,1.56567,8.21159
192,1023942933,2,11.8806,-2.99026,1.9539,11.3304,3.41603,0.348739,0.970822,3.25484
193,1023948712,1,5.61361,1.34114,0.476044,5.42919,6.70219,0.230289,-1.67261,6.48518
194,1024015311,0,6.5535,3.41768,2.26689,5.11056,5.51733,1.33114,-1.00536,5.25805
195,1024115671,0,9.89511,-0.858696,-1.52829,-9.73802,5.42194,0.0223207,1.15192,-5.29706
196,1024142273,2,17.2921,-4.62774,-0.439752,16.6552,7.12304,-1.13933,1.06339,6.94965
197,1024153253,2,7.3039,-2.68262,-1.78391,-6.55415,6.5294,1.24996,-0.317473,-6.3999
198,1024216570,2,21.6852,1.79978,-3.77968,-21.277,6.20999,2.82903,-0.469222,-5.50719
199,1024232966,2,11.1485,1.53162,1.33579,10.9612,7.65744,-0.507413,1.66412,7.45643
200,1024254705,0,8.79188,-0.797386,-2.99221,-8.22781,5.29817,-0.928271,-0.274885,-5.20789
201,1024262804,1,5.31243,0.735413,1.14379,5.13436,4.8121,-0.197225,-1.26366,4.63782
202,1024346587,0,6.52582,0.61716,-3.12051,5.69708,3.93167,0.434389,1.23449,3.70597
203,1024357274,1,7.25041,1.03827,0.964961,7.10972,5.10537,-0.980221,0.282018,5.00132
204,1024383766,2,6.44808,-2.32966,-0.947375,5.93647,5.10408,0.458545,-2.22988,4.56704
205,1024465247,2,7.1952,2.70485,0.950176,-6.59853,4.73127,0.85021,-1.21437,-4.49179
206,1024472636,2,9.90998,-1.81236,0.281568,9.73821,4.95065,-1.38733,-1.69526,4.43838
207,1024513755,2,11.1614,-3.10566,-0.817529,-10.6889,3.29092,-0.717329,1.33139,-2.92094
208,1024541693,2,9.78667,-0.600564,2.61071,9.41229,7.37604,1.66672,1.11801,7.09697
209,1024556770,3,8.47369,-2.02909,0.982989,8.16755,8.01228,-0.724321,-3.38139,7.22683
210,1024600239,2,8.70248,1.34241,-3.18305,7.98675,4.01791,0.971667,0.0183222,3.89717
